Science|science
Quantum|quantum
Comput. Sci. Rev.|computer science review
Sci. China Inf. Sci.|science china information sciences
Ann. Math. Inform.|annales mathematicae et informaticae
FU. Elec. Energ.|facta universitatis, series: electronics and energetics
Found. Trends Theor. Comput. Sci.|foundations and trends in theoretical computer science
Constr. Approx.|constructive approximation
J. Fourier Anal. Appl.|journal of fourier analysis and applications
3. Biotech.|3 biotech
3D. Print. Addit. Manuf.|3d printing and additive manufacturing
3D. Print. Med.|3d printing in medicine
Astron. Astrophys.|astronomy and astrophysics
A. F Z : Allg. Fischwirtschztg. Zentorg. Fischwirtsch.|a f z : allgemeine fischwirtschaftszeitung zentralorgan der fischwirtschaft
AAPG. Bull.|aapg bulletin
AAPG. Mem.|aapg memoir
AAPS. J|aaps journal
AATCC. J Res.|aatcc journal of research
ABB. Rev.|abb review
Abh. Akad. Wiss. DDR.|abhandlungen der akademie der wissenschaften der ddr
Abh. Akad. Wiss. DDR,. Abt. Math,. Naturwiss,. Tech.|abhandlungen der akademie der wissenschaften der ddr, abteilung mathematik, naturwissenschaften, technik
Abh. Akad. Wiss. Lit. Mainz. Math-Natwiss. Kl.|abhandlungen akademie der wissenschaften und der literatur, mainz mathematisch-naturwissenschaftliche klasse
Abh. Math. Semin. Univ. Hamburg.|abhandlungen aus dem mathematischen seminar der universität hamburg
Abh. Natwiss. Ver. Brem.|abhandlungen naturwissenschaftliche verein zu bremen
Abh. Senckb. Naturforsch. Ges.|abhandlungen der senckenbergischen naturforschenden gesellschaft
ACA. Trans.|aca transactions
Acad. Forensic. Pathol.|academic forensic pathology
Acad. Radiol.|academic radiology
Acat. Zool. Taiwan.|acta zoologica taiwanica
Acc. Chem. Res.|accounts of chemical research
Access. Microbiol.|access microbiology
Accid. Anal. Prev.|accident analysis and prevention
Accredit. Qual. Assur.|accreditation and quality assurance
ACH. - Models. Chem.|ach - models in chemistry
Achiev. Life. Sci.|achievements in the life sciences
ACI. Mater. J|aci materials journal
ACI. Struct. J|aci structural journal
ACIAR. Proc.|aciar proceedings
ACM. Comput. Surv.|acm computing surveys
ACM. Digital. Threats:. Res. Pract.|acm digital threats: research and practice
ACM. J Comput. Cult. Heritage.|acm journal on computing and cultural heritage
ACM. J Data. Inf. Qual.|acm journal of data and information quality
ACM. J Emerging. Technol. Comput.|acm journal on emerging technologies in computing
ACM. J Exp. Algorithmics.|acm journal of experimental algorithmics
ACM. Trans. Accessible. Comput.|acm transactions on accessible computing
ACM. Trans. Algorithms.|acm transactions on algorithms
ACM. Trans. Appl. Percept.|acm transactions on applied perception
ACM. Trans. Archit. Code. Optim.|acm transactions on architecture and code optimization
ACM. Trans. Asian. Lang. Inf. Process.|acm transactions on asian language information processing
ACM. Trans. Asian. Low-Resour. Lang. Inf. Process.|acm transactions on asian and low-resource language information processing
ACM. Trans. Auton. Adapt. Syst.|acm transactions on autonomous and adaptive systems
ACM. Trans. Comput. Educ.|acm transactions on computing education
ACM. Trans. Comput. Logic.|acm transactions on computational logic
ACM. Trans. Comput. Syst.|acm transactions on computer systems
ACM. Trans. Comput. Theory.|acm transactions on computation theory
ACM. Trans. Comput-Hum. Interact.|acm transactions on computer-human interaction
ACM. Trans. Database. Syst.|acm transactions on database systems
ACM. Trans. Des. Autom. Electron. Syst.|acm transactions on design automation of electronic systems
ACM. Trans. Econ. Comput.|acm transactions on economics and computation
ACM. Trans. Embedded. Comput. Syst.|acm transactions on embedded computing systems
ACM. Trans. Graphics.|acm transactions on graphics
ACM. Trans. Inf. Syst.|acm transactions on information systems
ACM. Trans. Inf. Syst. Secur.|acm transactions on information and system security
ACM. Trans. Intell. Syst. Technol.|acm transactions on intelligent systems and technology
ACM. Trans. Interact. Intell. Syst.|acm transactions on interactive intelligent systems
ACM. Trans. Internet. Technol.|acm transactions on internet technology
ACM. Trans. Knowl. Discovery. Data.|acm transactions on knowledge discovery from data
ACM. Trans. Manage. Inf. Syst.|acm transactions on management information systems
ACM. Trans. Math. Software.|acm transactions on mathematical software
ACM. Trans. Model. Comput. Simul.|acm transactions on modeling and computer simulation
ACM. Trans. Multimedia. Comput. Commun. Appl.|acm transactions on multimedia computing communications and applications
ACM. Trans. Parallel. Comput.|acm transactions on parallel computing
ACM. Trans. Program. Lang. Syst.|acm transactions on programming languages and systems
ACM. Trans. Reconfigurable. Technol. Syst.|acm transactions on reconfigurable technology and systems
ACM. Trans. Sens. Netw.|acm transactions on sensor networks
ACM. Trans. Software. Eng. Method.|acm transactions on software engineering and methodology
ACM. Trans. Speech. Lang. Process.|acm transactions on speech and language processing
ACM. Trans. Storage.|acm transactions on storage
ACM. Trans. Web.|acm transactions on the web
ACOPS. Yearb.|acops yearbook
Acoust. Imaging.|acoustical imaging
Acoust. Phys.|acoustical physics
Acoust. Res. Lett. Online.|acoustics research letters online
Acoust. Sci. Technol.|acoustical science and technology
Acoust. Today.|acoustics today
ACS. Appl. Bio. Mater.|acs applied bio materials
ACS. Appl. Electron. Mater.|acs applied electronic materials
ACS. Appl. Energy. Mater.|acs applied energy materials
ACS. Appl. Mater. Interfaces.|acs applied materials &; interfaces
ACS. Appl. Nano. Mater.|acs applied nano materials
ACS. Appl. Polym. Mater.|acs applied polymer materials
ACS. Biomater. Sci. Eng.|acs biomaterials science &; engineering
ACS. Catal.|acs catalysis
ACS. Cent. Sci.|acs central science
ACS. Chem. Biol.|acs chemical biology
ACS. Chem. Health. Saf.|acs chemical health and safety
ACS. Chem. Neurosci.|acs chemical neuroscience
ACS. Comb. Sci.|acs combinatorial science
ACS. Earth. Space. Chem.|acs earth and space chemistry
ACS. Energy. Lett.|acs energy letters
ACS. ES&;T. Eng.|acs es&;t engineering
ACS. ES&;T. Water.|acs es&;t water
ACS. Infect. Dis.|acs infectious diseases
ACS. Macro. Lett.|acs macro letters
ACS. Mater. Lett.|acs materials letters
ACS. Med. Chem. Lett.|acs medicinal chemistry letters
ACS. Nano.|acs nano
ACS. Omega.|acs omega
ACS. Pharmacol. Transl. Sci.|acs pharmacology &; translational science
ACS. Photonics|acs photonics
ACS. Sens.|acs sensors
ACS. Sustainable. Chem. Eng.|acs sustainable chemistry &; engineering
ACS. Symp. Ser.|acs symposium series
ACS. Synth. Biol.|acs synthetic biology
Act. Passive. Electron. Compon.|active and passive electronic components
Acta. Acad. Agric. Tech. Olst. ,Protect. Aquar. Piscat.|acta academiae agriculturae ac technicae olstenensis protectio aquarum et piscatoria
Acta. Acad. Agric. Tech. Olst,. Geod. Ruris. Regul.|acta academiae agriculturae ac technicae olstenensis geodaesia et ruris regulatio
Acta. Acad. Agric. Tech. Olst,. Technol. Aliment.|acta academiae agriculturae ac technicae olstenensis technologia alimentarum
Acta. Acad. Agric. Tech. Olst,. Vet.|acta academiae agriculturae ac technicae olstenensis veterinaria
Acta. Acust.|acta acustica
Acta. Acust. united. Acust.|acta acustica united with acustica
Acta. Adriat.|acta adriatica
Acta. Agric. Scand. Sect. A|acta agriculturae scandinavica section a: animal science
Acta. Agric. Scand. Sect. B|acta agriculturae scandinavica section b: soil and plant science
Acta. Amazon.|acta amazonica
Acta. Anat.|acta anatomica
Acta. Arct.|acta arctica
Acta. Astronaut.|acta astronautica
Acta. Autom. Sin.|acta automatica sinica
Acta. Biochim. Biophys. Sin.|acta biochimica et biophysica sinica
Acta. Biochim. Pol.|acta biochimica polonica
Acta. Biol. Cracov,. Bot.|acta biologica cracoviensia serie botanique
Acta. Biol. Cracov,. Zool.|acta biologica cracoviensia serie zoologique
Acta. Biol. Hung.|acta biologica hungarica
Acta. Biol. Jugosl,. B|acta biologica jugoslavica serija b mikrobiologija
Acta. Biol. Jugosl,. E|acta biologica jugoslavica serija e ichthyologia
Acta. Biol. Med. Ger.|acta biologica et medica germanica
Acta. Biol. Med. Soc. Sci. Gedanensis.|acta biologica et medica societas scientiarum gedanensis
Acta. Biol. Paran.|acta biologica paranaense
Acta. Biol. Venez.|acta biologica venezuelica
Acta. Biomater.|acta biomaterialia
Acta. Bioquim. Clin. Latinoam.|acta bioquimica clinica latinoamericana
Acta. Biotechnol.|acta biotechnologica
Acta. Biotheor.|acta biotheoretica
Acta. Boreal,. A|acta borealia a scientia
Acta. Bot. Fenn.|acta botanica fennica
Acta. Bot. Hung.|acta botanica hungarica
Acta. Bot. Neerl.|acta botanica neerlandica
Acta. Chem. Scand.|acta chemica scandinavica
Acta. Chem. Scand. Ser. A|acta chemica scandinavica, series a: physical and inorganic chemistry
Acta. Chem. Scand. Ser. B|acta chemica scandinavica, series b: organic chemistry and biochemistry
